("xmonad","0.8.1",Just "http://www.archlinux.org/packages/community/i686/xmonad/")
("X11","1.4.5",Just "http://www.archlinux.org/packages/community/i686/haskell-x11/")
("X11-xft","0.3",Just "http://www.archlinux.org/packages/community/i686/haskell-x11-xft/")
("utf8-string","0.3.5",Just "http://www.archlinux.org/packages/extra/i686/haskell-utf8-string/")
("haskeline","0.6.1",Just "http://www.archlinux.org/packages/extra/i686/haskell-haskeline/")
("extensible-exceptions","0.1.1.0",Just "http://www.archlinux.org/packages/extra/i686/haskell-extensible-exceptions/")
("hashed-storage","0.3.6",Just "http://www.archlinux.org/packages/extra/i686/haskell-hashed-storage/")
("mmap","0.4.1",Just "http://www.archlinux.org/packages/extra/i686/haskell-mmap/")
("zlib","0.5.2",Just "http://www.archlinux.org/packages/community/i686/haskell-zlib/")
("gtk2hs","0.10.1",Just "http://www.archlinux.org/packages/community/i686/gtk2hs/")
("alex","2.3.1",Just "http://www.archlinux.org/packages/community/i686/alex/")
("HTTP","4000.0.7",Just "http://www.archlinux.org/packages/community/i686/haskell-http/")
("pandoc","0.46",Just "http://www.archlinux.org/packages/community/i686/pandoc/")
("terminfo","0.3.0.2",Just "http://www.archlinux.org/packages/extra/i686/haskell-terminfo/")
("happy","1.18.4",Just "http://www.archlinux.org/packages/extra/i686/happy/")
("darcs","2.3.0",Just "http://www.archlinux.org/packages/extra/i686/darcs/")
("cabal-install","0.6.2",Just "http://www.archlinux.org/packages/community/i686/cabal-install/")
("addLicenseInfo","0.0",Just "http://aur.archlinux.org/packages.php?ID=25060")
("Agda-executable","2.2.4",Just "http://aur.archlinux.org/packages.php?ID=26144")
("arrowp","0.5.0.1",Just "http://aur.archlinux.org/packages.php?ID=18566")
("augur","2008.11.17",Just "http://aur.archlinux.org/packages.php?ID=20925")
("armada","0.1",Just "http://aur.archlinux.org/packages.php?ID=23082")
("autoproc","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=29290")
("backdropper","1.2",Just "http://aur.archlinux.org/packages.php?ID=18100")
("bacteria","1.0",Just "http://aur.archlinux.org/packages.php?ID=27803")
("bloxorz","0.1",Just "http://aur.archlinux.org/packages.php?ID=27995")
("baskell","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=23265")
("beautifHOL","0.11",Just "http://aur.archlinux.org/packages.php?ID=23296")
("Bookshelf","0.1.3",Just "http://aur.archlinux.org/packages.php?ID=26506")
("c2hs","0.16.0",Just "http://aur.archlinux.org/packages.php?ID=12844")
("cabal-rpm","0.5.1",Just "http://aur.archlinux.org/packages.php?ID=17577")
("cabal2doap","0.2",Just "http://aur.archlinux.org/packages.php?ID=23076")
("cabalgraph","0.1",Just "http://aur.archlinux.org/packages.php?ID=24790")
("cabal2spec","1.0",Just "http://aur.archlinux.org/packages.php?ID=28028")
("cabal2arch","0.6",Just "http://aur.archlinux.org/packages.php?ID=17471")
("change-monger","0.0",Just "http://aur.archlinux.org/packages.php?ID=29291")
("clevercss","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=17475")
("curry-frontend","0.2.2",Just "http://aur.archlinux.org/packages.php?ID=27509")
("CPBrainfuck","1.1",Just "http://aur.archlinux.org/packages.php?ID=19707")
("clustertools","0.1.2",Just "http://aur.archlinux.org/packages.php?ID=19690")
("darcs-beta","2.2.98.4",Just "http://aur.archlinux.org/packages.php?ID=27586")
("cap","1.0.1",Just "http://aur.archlinux.org/packages.php?ID=20378")
("conjure","0.1",Just "http://aur.archlinux.org/packages.php?ID=17620")
("darcs-graph","1.0",Just "http://aur.archlinux.org/packages.php?ID=17823")
("darcswatch","0.2",Just "http://aur.archlinux.org/packages.php?ID=23356")
("dephd","0.1.3",Just "http://aur.archlinux.org/packages.php?ID=19691")
("DefendTheKing","0.1",Just "http://aur.archlinux.org/packages.php?ID=28757")
("derive","0.1.4",Just "http://aur.archlinux.org/packages.php?ID=20739")
("cpphs","1.8",Just "http://aur.archlinux.org/packages.php?ID=17504")
("darcs-monitor","0.3.6",Just "http://aur.archlinux.org/packages.php?ID=19961")
("fallingblocks","0.1.4",Just "http://aur.archlinux.org/packages.php?ID=25023")
("equal-files","0.0.3",Just "http://aur.archlinux.org/packages.php?ID=22463")
("feed-cli","2009.7.5",Just "http://aur.archlinux.org/packages.php?ID=17825")
("estreps","0.3",Just "http://aur.archlinux.org/packages.php?ID=17733")
("Flippi","0.0.5",Just "http://aur.archlinux.org/packages.php?ID=18101")
("flower","0.1",Just "http://aur.archlinux.org/packages.php?ID=23557")
("fquery","0.2.1",Just "http://aur.archlinux.org/packages.php?ID=26174")
("DocTest","0.0.5",Just "http://aur.archlinux.org/packages.php?ID=24517")
("DisTract","0.2.5",Just "http://aur.archlinux.org/packages.php?ID=17621")
("elerea-examples","1.0.2",Just "http://aur.archlinux.org/packages.php?ID=26152")
("Emping","0.6",Just "http://aur.archlinux.org/packages.php?ID=17732")
("djinn","2009.2.8",Just "http://aur.archlinux.org/packages.php?ID=17731")
("ehaskell","0.7",Just "http://aur.archlinux.org/packages.php?ID=21138")
("datapacker","1.0.1",Just "http://aur.archlinux.org/packages.php?ID=17824")
("frag","1.1.2",Just "http://aur.archlinux.org/packages.php?ID=18102")
("fractal","0.0.1",Just "http://aur.archlinux.org/packages.php?ID=27799")
("gameclock","1.0.4",Just "http://aur.archlinux.org/packages.php?ID=19871")
("ftshell","0.3",Just "http://aur.archlinux.org/packages.php?ID=20822")
("geniconvert","0.15",Just "http://aur.archlinux.org/packages.php?ID=18103")
("ghci-haskeline","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=23125")
("gitit","0.6.2",Just "http://aur.archlinux.org/packages.php?ID=21349")
("glome-hs","0.51",Just "http://aur.archlinux.org/packages.php?ID=18104")
("ghc-core","0.5",Just "http://aur.archlinux.org/packages.php?ID=17466")
("greencard","3.0.3",Just "http://aur.archlinux.org/packages.php?ID=18105")
("GuiHaskell","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=17734")
("hackage2twitter","0.2.1",Just "http://aur.archlinux.org/packages.php?ID=27471")
("hackage-sparks","0.5",Just "http://aur.archlinux.org/packages.php?ID=20741")
("graphmod","1.1.3",Just "http://aur.archlinux.org/packages.php?ID=19810")
("happraise","0.1",Just "http://aur.archlinux.org/packages.php?ID=17505")
("happs-tutorial","0.9.0",Just "http://aur.archlinux.org/packages.php?ID=19959")
("haddock","2.5.0",Just "http://aur.archlinux.org/packages.php?ID=7651")
("Adaptive","0.22",Just "http://aur.archlinux.org/packages.php?ID=18599")
("Hashell","1.0",Just "http://aur.archlinux.org/packages.php?ID=17646")
("actor","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=20932")
("haskeem","0.7.12",Just "http://aur.archlinux.org/packages.php?ID=27824")
("AC-HalfInteger","1.2.1",Just "http://aur.archlinux.org/packages.php?ID=28000")
("AC-EasyRaster-GTK","1.1.1",Just "http://aur.archlinux.org/packages.php?ID=28003")
("hask-home","2009.3.18",Just "http://aur.archlinux.org/packages.php?ID=24938")
("adhoc-network","1.0.3",Just "http://aur.archlinux.org/packages.php?ID=19703")
("AERN-Net","0.2.1.1",Just "http://aur.archlinux.org/packages.php?ID=22432")
("AERN-Real","0.10.0.2",Just "http://aur.archlinux.org/packages.php?ID=18359")
("Agda","2.2.4",Just "http://aur.archlinux.org/packages.php?ID=26143")
("AERN-RnToRm","0.5.0.1",Just "http://aur.archlinux.org/packages.php?ID=18991")
("AC-Vector","1.1.1",Just "http://aur.archlinux.org/packages.php?ID=28001")
("acme-now","1.0.0.1",Just "http://aur.archlinux.org/packages.php?ID=28386")
("action-permutations","0.0.0.0",Just "http://aur.archlinux.org/packages.php?ID=26212")
("adaptive-containers","0.3",Just "http://aur.archlinux.org/packages.php?ID=25461")
("AERN-RnToRm-Plot","0.2.0.3",Just "http://aur.archlinux.org/packages.php?ID=20447")
("AGI","1.2.2",Just "http://aur.archlinux.org/packages.php?ID=17998")
("alloy","1.0.0",Just "http://aur.archlinux.org/packages.php?ID=27748")
("foo","1.0",Just "http://aur.archlinux.org/packages.php?ID=19146")
("algebra","0.0.0.1",Just "http://aur.archlinux.org/packages.php?ID=24103")
("alsa","0.2",Just "http://aur.archlinux.org/packages.php?ID=26180")
("alloy-proxy-fd","1.0.0",Just "http://aur.archlinux.org/packages.php?ID=27749")
("ALUT","2.2.0.0",Just "http://aur.archlinux.org/packages.php?ID=18106")
("alsa-midi","0.4",Just "http://aur.archlinux.org/packages.php?ID=19605")
("ansi-terminal","0.5.0",Just "http://aur.archlinux.org/packages.php?ID=19501")
("antimirov","0.1.0",Just "http://aur.archlinux.org/packages.php?ID=23556")
("anydbm","1.0.5",Just "http://aur.archlinux.org/packages.php?ID=17826")
("applicative-extras","0.1.5",Just "http://aur.archlinux.org/packages.php?ID=18749")
("applicative-numbers","0.0.8",Just "http://aur.archlinux.org/packages.php?ID=24510")
("ApplePush","0.1",Just "http://aur.archlinux.org/packages.php?ID=28722")
("ansi-wl-pprint","0.5.0",Just "http://aur.archlinux.org/packages.php?ID=19517")
("archlinux","0.2.3",Just "http://aur.archlinux.org/packages.php?ID=29267")
("arff","0.1.0",Just "http://aur.archlinux.org/packages.php?ID=21538")
("ArrayRef","0.1.3.1",Just "http://aur.archlinux.org/packages.php?ID=17525")
("array","0.2.0.0",Just "http://aur.archlinux.org/packages.php?ID=21716")
("arrows","0.4.1.1",Just "http://aur.archlinux.org/packages.php?ID=10415")
("augeas","0.1.2",Just "http://aur.archlinux.org/packages.php?ID=24350")
("attoparsec","0.7.2",Just "http://aur.archlinux.org/packages.php?ID=17535")
("AVar","0.0.4",Just "http://aur.archlinux.org/packages.php?ID=24109")
("AvlTree","4.2",Just "http://aur.archlinux.org/packages.php?ID=17528")
("astar","0.2.1",Just "http://aur.archlinux.org/packages.php?ID=18574")
("Barracuda","1.0.2",Just "http://aur.archlinux.org/packages.php?ID=19706")
("ASN1","0.0.1.1",Just "http://aur.archlinux.org/packages.php?ID=17968")
("bamboo","2009.8.16",Just "http://aur.archlinux.org/packages.php?ID=26211")
("barrie","0.4.1",Just "http://aur.archlinux.org/packages.php?ID=24110")
("atom","0.1.0",Just "http://aur.archlinux.org/packages.php?ID=26278")
("base64-string","0.1",Just "http://aur.archlinux.org/packages.php?ID=17534")
("authenticate","0.0.1",Just "http://aur.archlinux.org/packages.php?ID=26376")
("BASIC","0.1.5.0",Just "http://aur.archlinux.org/packages.php?ID=23761")
("benchpress","0.2.2.3",Just "http://aur.archlinux.org/packages.php?ID=19010")
("bencode","0.3",Just "http://aur.archlinux.org/packages.php?ID=17536")
("BerkeleyDBXML","0.6.2",Just "http://aur.archlinux.org/packages.php?ID=21905")
("BerkeleyDB","0.7.2",Just "http://aur.archlinux.org/packages.php?ID=21104")
("bff","0.2",Just "http://aur.archlinux.org/packages.php?ID=21135")
("binary-search","0.0",Just "http://aur.archlinux.org/packages.php?ID=17506")
("binary","0.5.0.1",Just "http://aur.archlinux.org/packages.php?ID=19402")
("binary-strict","0.4.2",Just "http://aur.archlinux.org/packages.php?ID=17530")
("bindings","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=24105")
("binarydefer","1.2",Just "http://aur.archlinux.org/packages.php?ID=22440")
("bindings-common","0.2.5",Just "http://aur.archlinux.org/packages.php?ID=27532")
("bindings-posix","0.0.2",Just "http://aur.archlinux.org/packages.php?ID=29508")
("bindings-libffi","0.0.2",Just "http://aur.archlinux.org/packages.php?ID=27779")
("bindings-libusb","0.0.7",Just "http://aur.archlinux.org/packages.php?ID=27630")
("bindings-sqlite3","0.0.2",Just "http://aur.archlinux.org/packages.php?ID=27533")
("bindings-uname","0.1",Just "http://aur.archlinux.org/packages.php?ID=27675")
("bitset","1.0",Just "http://aur.archlinux.org/packages.php?ID=17537")
("bitarray","0.0.1",Just "http://aur.archlinux.org/packages.php?ID=27801")
("BitSyntax","0.3.2",Just "http://aur.archlinux.org/packages.php?ID=17827")
("blas","0.7.6",Just "http://aur.archlinux.org/packages.php?ID=18098")
("bktrees","0.2.1",Just "http://aur.archlinux.org/packages.php?ID=17541")
("bloomfilter","1.2.6",Just "http://aur.archlinux.org/packages.php?ID=17496")
("blogination","0.5",Just "http://aur.archlinux.org/packages.php?ID=23856")
("bool-extras","0.3.0",Just "http://aur.archlinux.org/packages.php?ID=26464")
("boxes","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=29266")
("bytestring-class","0.0.0",Just "http://aur.archlinux.org/packages.php?ID=27333")
("bsd-sysctl","1.0.4",Just "http://aur.archlinux.org/packages.php?ID=27580")
("buster-gtk","2.0",Just "http://aur.archlinux.org/packages.php?ID=26204")
("byteorder","1.0.1",Just "http://aur.archlinux.org/packages.php?ID=23077")
("buster-network","1.2",Just "http://aur.archlinux.org/packages.php?ID=26206")
("bytestring-csv","0.1.2",Just "http://aur.archlinux.org/packages.php?ID=18532")
("bytestring","0.9.1.4",Just "http://aur.archlinux.org/packages.php?ID=17970")
("bytestring-lexing","0.2",Just "http://aur.archlinux.org/packages.php?ID=18529")
("bytestring-mmap","0.2.1",Just "http://aur.archlinux.org/packages.php?ID=17479")
("bytestring-show","0.3.2",Just "http://aur.archlinux.org/packages.php?ID=18621")
("bytestring-trie","0.1.4",Just "http://aur.archlinux.org/packages.php?ID=22469")
("Boolean","0.0.0",Just "http://aur.archlinux.org/packages.php?ID=27821")
("bytestringparser","0.3",Just "http://aur.archlinux.org/packages.php?ID=17522")
("buster","2.51",Just "http://aur.archlinux.org/packages.php?ID=26203")
("cabalrpmdeps","0.0.4",Just "http://aur.archlinux.org/packages.php?ID=22435")
("bzlib","0.5.0.0",Just "http://aur.archlinux.org/packages.php?ID=17520")
("cautious-file","0.1.5",Just "http://aur.archlinux.org/packages.php?ID=28586")
("c-io","0.1.0",Just "http://aur.archlinux.org/packages.php?ID=21020")
("bytestringreadp","0.2",Just "http://aur.archlinux.org/packages.php?ID=17524")
("caf","0.0.3",Just "http://aur.archlinux.org/packages.php?ID=25020")
("carray","0.1.4",Just "http://aur.archlinux.org/packages.php?ID=17497")
